time,open,high,low,close,tick_volume,spread,real_volume
2025-07-01 23:19:00,3338.97,3339.29,3338.9,3339.04,36,12,0
2025-07-01 23:20:00,3339.04,3339.47,3338.69,3338.95,40,12,0
2025-07-01 23:21:00,3338.95,3339.25,3338.55,3338.76,55,12,0
2025-07-01 23:22:00,3338.76,3339.07,3338.42,3339.07,57,12,0
2025-07-01 23:23:00,3339.07,3339.17,3338.96,3339.14,23,12,0
2025-07-01 23:24:00,3339.14,3339.17,3338.88,3339.17,14,12,0
2025-07-01 23:25:00,3339.17,3339.25,3338.95,3339.07,23,12,0
2025-07-01 23:26:00,3339.07,3339.37,3339.07,3339.32,22,12,0
2025-07-01 23:27:00,3339.32,3339.67,3339.32,3339.4,37,12,0
2025-07-01 23:28:00,3339.4,3340.0,3339.4,3339.97,31,12,0
2025-07-01 23:29:00,3339.97,3340.25,3339.82,3340.25,47,12,0
2025-07-01 23:30:00,3340.26,3340.95,3340.26,3340.85,57,12,0
2025-07-01 23:31:00,3340.85,3340.85,3340.26,3340.65,82,12,0
2025-07-01 23:32:00,3340.65,3341.48,3340.65,3341.14,65,12,0
2025-07-01 23:33:00,3341.14,3341.14,3340.2,3340.34,49,12,0
2025-07-01 23:34:00,3340.34,3340.51,3339.95,3340.13,38,12,0
2025-07-01 23:35:00,3340.13,3340.3,3340.0,3340.22,41,12,0
2025-07-01 23:36:00,3340.22,3340.23,3339.51,3339.53,34,12,0
2025-07-01 23:37:00,3339.53,3339.7,3339.42,3339.56,40,12,0
2025-07-01 23:38:00,3339.56,3340.03,3339.42,3339.68,56,12,0
2025-07-01 23:39:00,3339.68,3340.07,3339.3,3339.46,49,12,0
2025-07-01 23:40:00,3339.46,3340.25,3339.44,3340.14,40,12,0
2025-07-01 23:41:00,3340.14,3340.46,3339.38,3339.38,77,12,0
2025-07-01 23:42:00,3339.38,3339.39,3338.77,3338.93,63,12,0
2025-07-01 23:43:00,3338.93,3339.14,3338.38,3338.46,60,12,0
2025-07-01 23:44:00,3338.46,3338.98,3338.46,3338.76,61,12,0
2025-07-01 23:45:00,3338.76,3338.84,3337.47,3337.71,102,12,0
2025-07-01 23:46:00,3337.71,3337.83,3337.34,3337.53,71,12,0
2025-07-01 23:47:00,3337.53,3338.85,3337.39,3338.22,93,12,0
2025-07-01 23:48:00,3338.22,3338.67,3338.08,3338.67,46,12,0
2025-07-01 23:49:00,3338.67,3338.78,3338.12,3338.2,40,12,0
2025-07-01 23:50:00,3338.2,3338.32,3337.94,3337.94,57,12,0
2025-07-01 23:51:00,3337.96,3337.97,3336.88,3336.88,71,12,0
2025-07-01 23:52:00,3336.88,3338.19,3336.82,3338.16,67,12,0
2025-07-01 23:53:00,3338.16,3338.87,3338.16,3338.82,39,12,0
2025-07-01 23:54:00,3338.82,3339.21,3338.51,3339.01,56,12,0
2025-07-01 23:55:00,3339.01,3339.01,3338.73,3338.73,49,12,0
2025-07-01 23:56:00,3338.73,3338.79,3337.99,3338.13,60,12,0
2025-07-01 23:57:00,3338.13,3338.19,3337.78,3338.16,55,12,0
2025-07-01 23:58:00,3338.16,3338.73,3338.03,3338.73,63,12,0
2025-07-01 23:59:00,3338.73,3338.98,3338.0,3338.15,90,12,0
2025-07-02 00:00:00,3338.15,3338.62,3336.83,3336.89,154,12,0
2025-07-02 00:01:00,3336.89,3337.53,3336.88,3337.22,86,12,0
2025-07-02 00:02:00,3337.22,3337.26,3336.88,3336.97,64,12,0
2025-07-02 00:03:00,3336.97,3336.97,3335.02,3335.49,137,12,0
2025-07-02 00:04:00,3335.51,3337.01,3335.19,3337.01,147,12,0
2025-07-02 00:05:00,3337.01,3337.03,3335.03,3336.56,145,12,0
2025-07-02 00:06:00,3336.55,3341.41,3336.54,3340.73,239,12,0
2025-07-02 00:07:00,3340.7,3341.71,3339.67,3341.71,206,12,0
2025-07-02 00:08:00,3341.8,3342.19,3341.3,3342.0,179,12,0
2025-07-02 00:09:00,3342.09,3342.94,3341.98,3342.52,144,12,0
2025-07-02 00:10:00,3342.52,3344.99,3342.44,3344.96,208,12,0
2025-07-02 00:11:00,3344.96,3344.96,3341.95,3342.06,198,12,0
2025-07-02 00:12:00,3342.06,3342.49,3340.79,3342.41,172,12,0
2025-07-02 00:13:00,3342.41,3344.59,3342.4,3344.49,140,12,0
2025-07-02 00:14:00,3344.49,3344.59,3343.25,3343.36,110,12,0
2025-07-02 00:15:00,3343.39,3344.28,3343.12,3344.17,157,12,0
2025-07-02 00:16:00,3344.17,3344.22,3342.17,3342.61,150,12,0
2025-07-02 00:17:00,3342.63,3342.7,3341.54,3341.9,121,12,0
2025-07-02 00:18:00,3341.9,3342.01,3340.61,3340.72,103,12,0
2025-07-02 00:19:00,3340.72,3340.89,3340.36,3340.87,64,12,0
2025-07-02 00:20:00,3340.87,3341.81,3340.61,3341.49,100,12,0
2025-07-02 00:21:00,3341.49,3341.84,3340.97,3341.12,80,12,0
2025-07-02 00:22:00,3341.12,3341.13,3340.51,3340.68,60,12,0
2025-07-02 00:23:00,3340.68,3341.61,3340.68,3341.61,65,12,0
2025-07-02 00:24:00,3341.61,3342.0,3340.8,3340.82,86,12,0
2025-07-02 00:25:00,3340.82,3341.06,3340.49,3340.97,62,12,0
2025-07-02 00:26:00,3340.97,3341.11,3340.07,3340.11,98,12,0
2025-07-02 00:27:00,3340.11,3340.33,3339.3,3339.45,103,12,0
2025-07-02 00:28:00,3339.45,3339.48,3337.74,3338.01,138,12,0
2025-07-02 00:29:00,3337.83,3339.69,3337.78,3339.13,120,12,0
2025-07-02 00:30:00,3339.13,3339.36,3337.59,3338.38,137,12,0
2025-07-02 00:31:00,3338.38,3339.33,3338.32,3339.18,103,12,0
2025-07-02 00:32:00,3339.18,3339.73,3338.81,3338.99,66,12,0
2025-07-02 00:33:00,3338.99,3339.41,3338.42,3338.51,82,12,0
2025-07-02 00:34:00,3338.51,3338.81,3338.29,3338.72,63,12,0
2025-07-02 00:35:00,3338.76,3339.64,3338.58,3339.39,45,12,0
2025-07-02 00:36:00,3339.39,3339.43,3337.58,3337.58,66,12,0
2025-07-02 00:37:00,3337.46,3338.55,3337.39,3338.12,118,12,0
2025-07-02 00:38:00,3338.12,3338.34,3337.21,3337.4,80,12,0
2025-07-02 00:39:00,3337.4,3337.49,3336.49,3336.83,133,12,0
2025-07-02 00:40:00,3336.8,3337.88,3336.73,3337.54,96,12,0
2025-07-02 00:41:00,3337.54,3337.83,3336.68,3336.69,67,12,0
2025-07-02 00:42:00,3336.68,3336.8,3336.15,3336.18,76,12,0
2025-07-02 00:43:00,3336.18,3336.62,3335.95,3336.5,83,12,0
2025-07-02 00:44:00,3336.5,3336.75,3336.23,3336.63,55,12,0
2025-07-02 00:45:00,3336.69,3337.53,3336.69,3336.72,81,12,0
2025-07-02 00:46:00,3336.72,3338.25,3336.72,3338.14,98,12,0
2025-07-02 00:47:00,3338.14,3338.17,3337.3,3337.65,145,12,0
2025-07-02 00:48:00,3337.65,3338.49,3337.61,3338.13,82,12,0
2025-07-02 00:49:00,3338.21,3338.44,3337.93,3338.41,59,12,0
2025-07-02 00:50:00,3338.41,3338.85,3338.16,3338.16,84,12,0
2025-07-02 00:51:00,3338.16,3338.16,3337.22,3337.85,90,12,0
2025-07-02 00:52:00,3337.85,3338.07,3337.55,3337.66,70,12,0
2025-07-02 00:53:00,3337.72,3338.64,3337.63,3338.64,71,12,0
2025-07-02 00:54:00,3338.64,3338.89,3338.29,3338.42,99,12,0
2025-07-02 00:55:00,3338.47,3339.03,3337.38,3338.61,139,12,0
2025-07-02 00:56:00,3338.61,3338.66,3337.55,3338.18,105,12,0
2025-07-02 00:57:00,3338.17,3338.28,3337.74,3338.11,97,12,0
2025-07-02 00:58:00,3338.11,3338.88,3338.11,3338.5,102,12,0
2025-07-02 00:59:00,3338.5,3339.01,3338.5,3338.97,109,12,0
2025-07-02 01:00:00,3338.97,3340.68,3338.97,3340.68,208,12,0
2025-07-02 01:01:00,3340.71,3342.08,3340.42,3341.19,194,12,0
2025-07-02 01:02:00,3341.2,3342.62,3340.9,3342.2,204,12,0
2025-07-02 01:03:00,3342.22,3342.23,3340.91,3341.51,173,12,0
2025-07-02 01:04:00,3341.54,3342.89,3341.51,3342.36,154,12,0
2025-07-02 01:05:00,3342.36,3342.91,3341.23,3341.34,155,12,0
2025-07-02 01:06:00,3341.34,3341.34,3339.45,3340.23,186,12,0
2025-07-02 01:07:00,3340.23,3340.66,3339.85,3340.24,119,12,0
2025-07-02 01:08:00,3340.25,3340.48,3339.14,3340.22,157,12,0
2025-07-02 01:09:00,3340.24,3340.24,3339.57,3339.69,123,12,0
2025-07-02 01:10:00,3339.69,3339.72,3338.29,3338.84,135,12,0
2025-07-02 01:11:00,3338.84,3338.84,3337.48,3337.96,136,12,0
2025-07-02 01:12:00,3337.95,3338.19,3336.41,3336.9,161,12,0
2025-07-02 01:13:00,3336.9,3336.92,3335.31,3335.55,160,12,0
2025-07-02 01:14:00,3335.54,3336.25,3335.18,3335.63,194,12,0
2025-07-02 01:15:00,3335.61,3335.9,3335.26,3335.73,150,12,0
2025-07-02 01:16:00,3335.77,3337.61,3335.58,3337.53,179,12,0
2025-07-02 01:17:00,3337.53,3337.69,3336.07,3336.07,134,12,0
2025-07-02 01:18:00,3336.1,3337.23,3336.02,3336.81,137,12,0
2025-07-02 01:19:00,3336.82,3337.11,3336.16,3337.11,115,12,0
2025-07-02 01:20:00,3337.1,3337.29,3335.32,3335.41,129,12,0
2025-07-02 01:21:00,3335.41,3336.29,3335.37,3335.47,129,12,0
2025-07-02 01:22:00,3335.47,3335.82,3334.98,3335.5,131,12,0
2025-07-02 01:23:00,3335.51,3335.83,3335.16,3335.22,87,12,0
2025-07-02 01:24:00,3335.22,3335.63,3334.23,3334.37,111,12,0
2025-07-02 01:25:00,3334.35,3334.35,3332.26,3333.25,225,12,0
2025-07-02 01:26:00,3333.25,3334.43,3332.72,3334.43,139,12,0
2025-07-02 01:27:00,3334.43,3334.91,3334.09,3334.49,116,12,0
2025-07-02 01:28:00,3334.49,3335.26,3334.49,3335.18,107,12,0
2025-07-02 01:29:00,3335.18,3335.56,3334.76,3335.22,84,12,0
2025-07-02 01:30:00,3335.25,3335.25,3333.97,3333.97,110,12,0
2025-07-02 01:31:00,3333.88,3335.49,3333.88,3335.26,99,12,0
2025-07-02 01:32:00,3335.26,3335.84,3335.04,3335.1,85,12,0
2025-07-02 01:33:00,3335.1,3335.34,3333.75,3334.43,108,12,0
2025-07-02 01:34:00,3334.43,3334.43,3333.19,3333.82,78,12,0
2025-07-02 01:35:00,3333.82,3334.91,3333.24,3333.27,139,12,0
2025-07-02 01:36:00,3333.27,3333.27,3332.55,3332.95,159,12,0
2025-07-02 01:37:00,3332.95,3333.54,3332.48,3333.28,107,12,0
2025-07-02 01:38:00,3333.33,3333.57,3332.73,3332.95,97,12,0
2025-07-02 01:39:00,3332.95,3332.96,3332.04,3332.24,107,12,0
2025-07-02 01:40:00,3332.24,3332.4,3331.23,3331.69,143,12,0
2025-07-02 01:41:00,3331.62,3331.9,3331.03,3331.05,133,12,0
2025-07-02 01:42:00,3331.1,3332.9,3331.1,3332.7,139,12,0
2025-07-02 01:43:00,3332.68,3333.36,3332.62,3332.9,102,12,0
2025-07-02 01:44:00,3332.9,3333.41,3332.88,3333.24,84,12,0
2025-07-02 01:45:00,3333.24,3333.26,3332.26,3333.08,107,12,0
2025-07-02 01:46:00,3333.08,3333.45,3332.86,3333.34,95,12,0
2025-07-02 01:47:00,3333.15,3333.43,3331.66,3331.9,126,12,0
2025-07-02 01:48:00,3331.9,3332.71,3331.88,3332.47,104,12,0
2025-07-02 01:49:00,3332.46,3332.98,3332.3,3332.38,89,12,0
2025-07-02 01:50:00,3332.38,3332.38,3331.05,3331.5,132,12,0
2025-07-02 01:51:00,3331.5,3332.55,3331.48,3332.55,88,12,0
2025-07-02 01:52:00,3332.55,3332.84,3331.95,3332.6,90,12,0
2025-07-02 01:53:00,3332.6,3332.94,3332.33,3332.33,60,12,0
2025-07-02 01:54:00,3332.33,3332.57,3331.94,3332.11,55,12,0
2025-07-02 01:55:00,3332.11,3332.25,3331.69,3332.25,39,12,0
2025-07-02 01:56:00,3332.25,3332.51,3331.75,3331.78,68,12,0
2025-07-02 01:57:00,3331.78,3331.98,3331.29,3331.51,101,12,0
2025-07-02 01:58:00,3331.51,3331.87,3331.0,3331.26,107,12,0
2025-07-02 01:59:00,3331.26,3332.25,3331.04,3332.18,93,12,0
2025-07-02 02:00:00,3332.24,3333.25,3332.12,3332.76,113,12,0
2025-07-02 02:01:00,3332.76,3332.76,3331.4,3332.3,123,12,0
2025-07-02 02:02:00,3332.29,3332.35,3331.48,3331.48,105,12,0
2025-07-02 02:03:00,3331.49,3331.49,3329.34,3329.56,205,12,0
2025-07-02 02:04:00,3329.58,3331.24,3329.01,3331.19,187,12,0
2025-07-02 02:05:00,3331.14,3332.75,3330.43,3330.43,161,12,0
2025-07-02 02:06:00,3330.41,3331.47,3328.55,3331.47,216,12,0
2025-07-02 02:07:00,3331.56,3331.56,3330.68,3331.43,151,12,0
2025-07-02 02:08:00,3331.44,3331.77,3331.2,3331.57,124,12,0
2025-07-02 02:09:00,3331.57,3332.37,3331.33,3332.2,122,12,0
2025-07-02 02:10:00,3332.2,3332.5,3331.16,3331.83,134,12,0
2025-07-02 02:11:00,3331.91,3331.92,3330.29,3330.38,113,12,0
2025-07-02 02:12:00,3330.38,3331.11,3329.5,3329.71,140,12,0
2025-07-02 02:13:00,3329.71,3330.05,3329.21,3329.85,134,12,0
2025-07-02 02:14:00,3329.85,3330.5,3329.69,3330.25,95,12,0
2025-07-02 02:15:00,3330.25,3330.57,3329.78,3330.2,106,12,0
2025-07-02 02:16:00,3330.2,3331.14,3329.22,3331.04,89,12,0
