time,open,high,low,close,tick_volume,spread,real_volume
2025-06-30 18:15:00,3297.48,3298.29,3297.36,3298.19,105,12,0
2025-06-30 18:16:00,3298.19,3298.26,3297.5,3297.52,114,12,0
2025-06-30 18:17:00,3297.52,3297.95,3297.14,3297.69,123,12,0
2025-06-30 18:18:00,3297.7,3299.14,3297.62,3298.53,145,12,0
2025-06-30 18:19:00,3298.53,3298.71,3298.12,3298.19,89,12,0
2025-06-30 18:20:00,3298.19,3298.24,3297.51,3298.2,94,12,0
2025-06-30 18:21:00,3298.2,3298.33,3297.91,3298.02,58,12,0
2025-06-30 18:22:00,3298.02,3298.02,3297.53,3297.91,88,12,0
2025-06-30 18:23:00,3297.91,3297.91,3297.49,3297.71,83,12,0
2025-06-30 18:24:00,3297.71,3298.04,3297.47,3297.75,78,12,0
2025-06-30 18:25:00,3297.75,3298.43,3297.54,3298.15,86,12,0
2025-06-30 18:26:00,3298.15,3298.97,3297.57,3298.97,95,12,0
2025-06-30 18:27:00,3298.96,3299.0,3298.48,3298.73,95,12,0
2025-06-30 18:28:00,3298.73,3298.95,3298.62,3298.93,82,12,0
2025-06-30 18:29:00,3298.93,3299.12,3298.66,3299.12,93,12,0
2025-06-30 18:30:00,3299.13,3299.56,3299.08,3299.37,99,12,0
2025-06-30 18:31:00,3299.37,3299.41,3299.01,3299.25,72,12,0
2025-06-30 18:32:00,3299.25,3299.26,3298.28,3298.28,72,12,0
2025-06-30 18:33:00,3298.28,3298.99,3298.12,3298.94,82,12,0
2025-06-30 18:34:00,3298.94,3299.01,3298.59,3298.8,85,12,0
2025-06-30 18:35:00,3298.8,3298.94,3298.75,3298.87,60,12,0
2025-06-30 18:36:00,3298.87,3298.88,3298.6,3298.64,50,12,0
2025-06-30 18:37:00,3298.64,3298.65,3298.27,3298.35,77,12,0
2025-06-30 18:38:00,3298.35,3298.87,3298.35,3298.82,51,12,0
2025-06-30 18:39:00,3298.82,3298.91,3298.61,3298.79,51,12,0
2025-06-30 18:40:00,3298.79,3298.92,3298.5,3298.7,60,12,0
2025-06-30 18:41:00,3298.7,3299.0,3298.7,3298.9,56,12,0
2025-06-30 18:42:00,3298.9,3299.3,3298.89,3299.18,68,12,0
